Request ID,Timestamp,User ID,Platform,Username,Status
CR-20251223130721-222222,2025-12-23T13:07:21.280247,222222,OnlyFans,test_creator,Pending
CR-20251223130749-222222,2025-12-23T13:07:49.195193,222222,OnlyFans,test_creator,Pending
CR-20251223132730-7837348879,2025-12-23T13:27:30.934022,7837348879,OnlyFans,itsyourmomxoxo,Pending
